Country,2014 Pop,2015 Pop,2016 Pop,2017 Pop,2018 Pop,2019 Pop,2020 Pop
Greece,10700000,10700000,10600000,10600000,10500000,10500000,10400000
Grenada,109000,110000,110000,111000,111000,112000,113000
Guatemala,15900000,16300000,16600000,16900000,17200000,17600000,17900000
Guinea,11200000,11400000,11700000,12100000,12400000,12800000,13100000
Guinea-Bissau,1690000,1740000,1780000,1830000,1870000,1920000,1970000
Guyana,763000,767000,771000,775000,779000,783000,787000
Haiti,10500000,10700000,10800000,11000000,11100000,11300000,11400000
Honduras,8960000,9110000,9270000,9430000,9590000,9750000,9900000
Hungary,9800000,9780000,9750000,9730000,9710000,9680000,9660000
Iceland,329000,330000,332000,334000,337000,339000,341000
India,1300000000,1310000000,1320000000,1340000000,1350000000,1370000000,1380000000
Indonesia,255000000,258000000,262000000,265000000,268000000,271000000,274000000
Iran,77500000,78500000,79600000,80700000,81800000,82900000,84000000
Iraq,34400000,35600000,36600000,37600000,38400000,39300000,40200000
Ireland,4630000,4650000,4700000,4750000,4820000,4880000,4940000
Israel,7850000,7980000,8110000,8240000,8380000,8520000,8660000
Italy,60400000,60600000,60700000,60700000,60600000,60600000,60500000
Jamaica,2880000,2890000,2910000,2920000,2930000,2950000,2960000
Japan,128000000,128000000,128000000,128000000,127000000,127000000,126000000
Jordan,8920000,9270000,9550000,9790000,9970000,10100000,10200000
Kazakhstan,17300000,17600000,17800000,18100000,18300000,18600000,18800000
Kenya,46700000,47900000,49100000,50200000,51400000,52600000,53800000
Kiribati,109000,111000,113000,114000,116000,118000,119000
Kuwait,3690000,3840000,3960000,4060000,4140000,4210000,4270000
Kyrgyz Republic,5840000,5960000,6070000,6190000,6300000,6420000,6520000
Lao,6640000,6740000,6850000,6950000,7060000,7170000,7280000
Latvia,2020000,2000000,1970000,1950000,1930000,1910000,1890000
Lebanon,6260000,6530000,6710000,6820000,6860000,6860000,6830000
Lesotho,2040000,2060000,2080000,2090000,2110000,2130000,2140000
Liberia,4360000,4470000,4590000,4700000,4820000,4940000,5060000
Libya,6360000,6420000,6490000,6580000,6680000,6780000,6870000
Liechtenstein,37200,37500,37700,37800,37900,38000,38100
Lithuania,2970000,2930000,2890000,2850000,2800000,2760000,2720000
Luxembourg,555000,567000,579000,592000,604000,616000,626000
Madagascar,23600000,24200000,24900000,25600000,26300000,27000000,27700000
Malawi,16300000,16700000,17200000,17700000,18100000,18600000,19100000
Malaysia,29900000,30300000,30700000,31100000,31500000,31900000,32400000
Maldives,435000,455000,476000,496000,516000,531000,541000
Mali,16900000,17400000,18000000,18500000,19100000,19700000,20300000
Malta,430000,434000,436000,438000,439000,440000,442000
Marshall Islands,57200,57400,57700,58100,58400,58800,59200
Mauritania,3930000,4050000,4160000,4280000,4400000,4530000,4650000
Mauritius,1260000,1260000,1260000,1260000,1270000,1270000,1270000
Mexico,120000000,122000000,123000000,125000000,126000000,128000000,129000000
Moldova,4070000,4070000,4070000,4060000,4050000,4040000,4030000
Monaco,37300,37700,38100,38400,38700,39000,39200
Mongolia,2940000,3000000,3060000,3110000,3170000,3230000,3280000
Montenegro,627000,627000,627000,628000,628000,628000,628000
Morocco,34200000,34700000,35100000,35600000,36000000,36500000,36900000
Mozambique,26300000,27000000,27800000,28600000,29500000,30400000,31300000
Myanmar,52300000,52700000,53000000,53400000,53700000,54000000,54400000
Namibia,2270000,2310000,2360000,2400000,2450000,2490000,2540000
Nauru,10300,10400,10500,10600,10700,10800,10800
Nepal,26900000,27000000,27300000,27600000,28100000,28600000,29100000
Netherlands,16900000,16900000,17000000,17000000,17100000,17100000,17100000
New Zealand,4570000,4610000,4660000,4700000,4740000,4780000,4820000
Nicaragua,6140000,6220000,6300000,6380000,6470000,6550000,6620000
Niger,19200000,20000000,20800000,21600000,22400000,23300000,24200000
Nigeria,176000000,181000000,186000000,191000000,196000000,201000000,206000000
North Korea,25100000,25200000,25300000,25400000,25500000,25700000,25800000
North Macedonia,2080000,2080000,2080000,2080000,2080000,2080000,2080000
Norway,5140000,5200000,5250000,5300000,5340000,5380000,5420000
Oman,4030000,4270000,4480000,4670000,4830000,4970000,5110000
Pakistan,195000000,199000000,204000000,208000000,212000000,217000000,221000000
Palau,17600,17700,17700,17800,17900,18000,18100
Palestine,4430000,4530000,4640000,4750000,4860000,4980000,5100000
Panama,3900000,3970000,4040000,4110000,4180000,4250000,4310000
Papua New Guinea,7950000,8110000,8270000,8440000,8610000,8780000,8950000
Paraguay,6600000,6690000,6780000,6870000,6960000,7040000,7130000
Peru,30100000,30500000,30900000,31400000,32000000,32500000,33000000
Philippines,101000000,102000000,104000000,105000000,107000000,108000000,110000000
Poland,38100000,38000000,38000000,38000000,37900000,37900000,37800000
Portugal,10400000,10400000,10300000,10300000,10300000,10200000,10200000
Qatar,2460000,2570000,2650000,2720000,2780000,2830000,2880000
Rep. of Congo,4740000,4860000,4980000,5110000,5240000,5380000,5520000
Romania,20000000,19900000,19800000,19700000,19500000,19400000,19200000
Russia,145000000,145000000,145000000,146000000,146000000,146000000,146000000
Rwanda,11100000,11400000,11700000,12000000,12300000,12600000,13000000
Samoa,192000,194000,195000,195000,196000,197000,198000
San Marino,32900,33300,33500,33700,33800,33900,33900
Sao Tome and Principe,196000,199000,203000,207000,211000,215000,219000
Saudi Arabia,30900000,31700000,32400000,33100000,33700000,34300000,34800000
Senegal,14200000,14600000,15000000,15400000,15900000,16300000,16700000
Serbia,8900000,8880000,8850000,8830000,8800000,8770000,8740000
Seychelles,94200,95000,95700,96400,97100,97700,98300
Sierra Leone,7020000,7170000,7330000,7490000,7650000,7810000,7980000
Singapore,5530000,5590000,5650000,5710000,5760000,5800000,5850000
Slovak Republic,5430000,5440000,5440000,5450000,5450000,5460000,5460000
Slovenia,2070000,2070000,2070000,2080000,2080000,2080000,2080000
Solomon Islands,587000,603000,619000,636000,653000,670000,687000
Somalia,13400000,13800000,14200000,14600000,15000000,15400000,15900000
South Africa,54500000,55400000,56200000,57000000,57800000,58600000,59300000
South Korea,50600000,50800000,51000000,51100000,51200000,51200000,51300000
South Sudan,10600000,10700000,10800000,10900000,11000000,11100000,11200000
Spain,46800000,46700000,46600000,46600000,46700000,46700000,46800000
Sri Lanka,20800000,20900000,21000000,21100000,21200000,21300000,21400000
St. Kitts and Nevis,50800,51200,51600,52000,52400,52800,53200
St. Lucia,178000,179000,180000,181000,182000,183000,184000
St. Vincent and the Grenadines,109000,109000,109000,110000,110000,111000,111000
Sudan,38000000,38900000,39800000,40800000,41800000,42800000,43800000
Suriname,553000,559000,565000,571000,576000,581000,587000
Sweden,9690000,9760000,9840000,9900000,9970000,10000000,10100000
Switzerland,8210000,8300000,8380000,8460000,8530000,8590000,8650000
Syria,18700000,18000000,17500000,17100000,16900000,17100000,17500000
Tajikistan,8250000,8450000,8660000,8880000,9100000,9320000,9540000
Tanzania,50000000,51500000,53000000,54700000,56300000,58000000,59700000
Thailand,68400000,68700000,69000000,69200000,69400000,69600000,69800000
Timor-Leste,1170000,1200000,1220000,1240000,1270000,1290000,1320000
Togo,7140000,7320000,7510000,7700000,7890000,8080000,8280000
Tonga,101000,101000,101000,102000,103000,104000,106000
Trinidad and Tobago,1360000,1370000,1380000,1380000,1390000,1390000,1400000
Tunisia,11100000,11200000,11300000,11400000,11600000,11700000,11800000
Turkey,77200000,78500000,79800000,81100000,82300000,83400000,84300000
Turkmenistan,5470000,5570000,5660000,5760000,5850000,5940000,6030000
Tuvalu,11000,11100,11200,11400,11500,11700,11800
Uganda,36900000,38200000,39600000,41200000,42700000,44300000,45700000
Ukraine,45100000,44900000,44700000,44500000,44200000,44000000,43700000
United Arab Emirates,9210000,9260000,9360000,9490000,9630000,9770000,9890000
United Kingdom,65400000,65900000,66300000,66700000,67100000,67500000,67900000
United States,319000000,321000000,323000000,325000000,327000000,329000000,331000000
Uruguay,3400000,3410000,3420000,3440000,3450000,3460000,3470000
Uzbekistan,30400000,30900000,31400000,32000000,32500000,33000000,33500000
Vanuatu,264000,271000,278000,285000,293000,300000,307000
Venezuela,30000000,30100000,29900000,29400000,28900000,28500000,28400000
Vietnam,91700000,92700000,93600000,94600000,95500000,96500000,97300000
Yemen,25800000,26500000,27200000,27800000,28500000,29200000,29800000
Zambia,15400000,15900000,16400000,16900000,17400000,17900000,18400000
Zimbabwe,13600000,13800000,14000000,14200000,14400000,14600000,14900000
